"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Juno Beach","Juno Beach","FL","Florida","12099","Palm Beach","26.8756","-80.0589","3564","3564","675","polygon","True","America/New_York","33408","1840017254"
"Parmalee","Parmalee","FL","Florida","12081","Manatee","27.3712","-82.2181","","","21.8","point","False","America/New_York","34251","1840028842"
"Palm Shores","Palm Shores","FL","Florida","12009","Brevard","28.1923","-80.6598","1034","1034","698","polygon","True","America/New_York","32935 32940","1840017236"
"Melbourne","Melbourne","FL","Florida","12009","Brevard","28.1152","-80.6530","81185","81185","835","polygon","True","America/New_York","32901 32903 32934 32935 32902 32912 32919 32936 32941","1840015960"
"Plymouth","Plymouth","FL","Florida","12095","Orange","28.6922","-81.5473","","","965.3","point","False","America/New_York","32712","1840028760"
"Longwood","Longwood","FL","Florida","12117","Seminole","28.7016","-81.3489","15011","15011","1060","polygon","True","America/New_York","32750 32752 32791","1840015957"
"Golden Beach","Golden Beach","FL","Florida","12086","Miami-Dade","25.9660","-80.1210","968","968","1150","polygon","True","America/New_York","33160","1840017277"
"Riverland","Riverland","FL","Florida","12011","Broward","26.0940","-80.1867","","","2199.1","point","False","America/New_York","33312","1840029071"
"Bereah","Bereah","FL","Florida","12105","Polk","27.6611","-81.6256","","","2.8","point","False","America/New_York","33841","1840028816"
"Golden Glades","Golden Glades","FL","Florida","12086","Miami-Dade","25.9129","-80.2013","","","2603.5","polygon","False","America/New_York","33162 33161 33168 33169","1840029039"
"Macclenny","Macclenny","FL","Florida","12003","Baker","30.2818","-82.1246","11307.0","6562","534","polygon","True","America/New_York","32063","1840015921"
"Bay Harbor Islands","Bay Harbor Islands","FL","Florida","12086","Miami-Dade","25.8878","-80.1335","5975","5975","5829","polygon","True","America/New_York","33154","1840016005"
"Dover","Dover","FL","Florida","12057","Hillsborough","27.9927","-82.2198","","","544.1","polygon","False","America/New_York","33527","1840013123"
"Montverde","Montverde","FL","Florida","12069","Lake","28.5971","-81.6787","1644","1644","378","polygon","True","America/New_York","34756","1840017230"
"Weeki Wachee Gardens","Weeki Wachee Gardens","FL","Florida","12053","Hernando","28.5375","-82.6208","","","326.0","polygon","False","America/New_York","34607","1840029093"
"Limestone","Limestone","FL","Florida","12049","Hardee","27.3673","-81.9048","","","33.0","polygon","False","America/New_York","33865","1840025169"
"Wellborn","Wellborn","FL","Florida","12121","Suwannee","30.2311","-82.8196","","","222.7","point","False","America/New_York","32094","1840028794"
"Gulf Gate Estates","Gulf Gate Estates","FL","Florida","12115","Sarasota","27.2588","-82.5066","","","1705.0","polygon","False","America/New_York","34231","1840029040"
"Palatka","Palatka","FL","Florida","12107","Putnam","29.6488","-81.6618","23740.0","10452","472","polygon","True","America/New_York","32177 32178","1840015062"
"Seffner","Seffner","FL","Florida","12057","Hillsborough","27.9981","-82.2734","","","1438.2","polygon","False","America/New_York","33584 33583","1840014153"
"Progress Village","Progress Village","FL","Florida","12057","Hillsborough","27.8832","-82.3593","","","1677.5","polygon","False","America/New_York","33619 33578","1840028917"
"Redington Shores","Redington Shores","FL","Florida","12103","Pinellas","27.8294","-82.8274","2234","2234","2647","polygon","True","America/New_York","33708","1840018295"
